time,microjax,vbmicrolensing,relative_difference
-1.501501501501501412e+00,5.014836645477759980e+00,5.014834813373124867e+00,3.653369858220652047e-07
-1.486486486486486402e+00,5.068349708665847331e+00,5.068351144392104324e+00,2.832728467485186963e-07
-1.471471471471471393e+00,5.123224120428856665e+00,5.123225770301012005e+00,3.220377608390009750e-07
-1.456456456456456383e+00,5.179505695847195668e+00,5.179507579187434985e+00,3.636137626064602903e-07
-1.441441441441441373e+00,5.237241992326061357e+00,5.237244129824583538e+00,4.081342150939105753e-07
-1.426426426426426364e+00,5.296482353551493105e+00,5.296489509526898232e+00,1.351078934878446749e-06
-1.411411411411411354e+00,5.357277949111287185e+00,5.357285524753903516e+00,1.414082296216408115e-06
-1.396396396396396344e+00,5.419681808347497132e+00,5.419691512824437396e+00,1.790595814780406727e-06
-1.381381381381381335e+00,5.483748846879618277e+00,5.483757256357465693e+00,1.533524817800053469e-06
-1.366366366366366325e+00,5.549535883943709003e+00,5.549523331777964863e+00,2.261845746690132609e-06
-1.351351351351351315e+00,5.617101648228381983e+00,5.617088612648076129e+00,2.320700491799453680e-06
-1.336336336336336306e+00,5.686506769603118627e+00,5.686493230875486304e+00,2.380857073532202205e-06
-1.321321321321321296e+00,5.757813753616617625e+00,5.757799691307856627e+00,2.442306004883600703e-06
-1.306306306306306286e+00,5.831086935028902296e+00,5.831079647258954779e+00,1.249814852202013511e-06
-1.291291291291291277e+00,5.906392406081485191e+00,5.906384786606143855e+00,1.290040459032525060e-06
-1.276276276276276267e+00,5.983797914429459297e+00,5.983789947995415304e+00,1.331335844544828394e-06
-1.261261261261261257e+00,6.063372724742742470e+00,6.063364545211271661e+00,1.349008691431705162e-06
-1.246246246246246248e+00,6.145187437033025724e+00,6.145178871398491616e+00,1.393878797242972634e-06
-1.231231231231231238e+00,6.229313753647961249e+00,6.229304783609705076e+00,1.439974213458722266e-06
-1.216216216216216228e+00,6.315824185432440174e+00,6.315824145647353838e+00,6.299270755333870005e-09
-1.201201201201201219e+00,6.404791686097258463e+00,6.404781680165638313e+00,1.562259592881351774e-06
-1.186186186186186209e+00,6.496289202236482652e+00,6.496288847349838136e+00,5.462913562726645633e-08
-1.171171171171171199e+00,6.590389124293193568e+00,6.590388963852308990e+00,2.434467608177585281e-08
-1.156156156156156189e+00,6.687162621661892459e+00,6.687162483022276227e+00,2.073220391813626624e-08
-1.141141141141141180e+00,6.786678842862200689e+00,6.786678379036255926e+00,6.834358707727587831e-08
-1.126126126126126170e+00,6.889003958855255405e+00,6.889004136379962340e+00,2.576928441618670896e-08
-1.111111111111111160e+00,6.994200024688389306e+00,6.994199578290525743e+00,6.382400996223989276e-08
-1.096096096096096151e+00,7.102323631862686781e+00,7.102322363394643290e+00,1.785990523366340544e-07
-1.081081081081081141e+00,7.213424320450323890e+00,7.213423741106997689e+00,8.031461161776219170e-08
-1.066066066066066131e+00,7.327542716591302074e+00,7.327541753495078858e+00,1.314351054713781720e-07
